query_id,index_status,query_text,execution_time_ms,status,documents_returned,error_message,timestamp
67,with_index,"db.contracts.aggregate([{$match:{start_date:{$gte:ISODate(""""2023-02-05T00:00:00Z"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:52Z
68,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""contracts"""",localField:""""contract_id"""",foreignField:""""_id"""",as:""""contract""""}},{$unwind:""""$contract""""},{$group:{_id:""""$contract.tariff_id"""",total_use:{$su...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:52Z
69,with_index,"db.contracts.aggregate([{$group:{_id:""""$supplier_id"""",house_count:{$sum:1}}},{$match:{house_count:{$gt:3}}}])",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:52Z
70,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""_id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$bucket:{groupBy:""""$weather.temperature_cels...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:52Z
71,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$match:{""""weather.temperature_celsius"""":{$lt:...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
72,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""_id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$match:{""""weather.temperature_celsius"""":{$gt...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
73,with_index,"db.houses.aggregate([{$group:{_id:""""$user_id"""",house_count:{$sum:1}}},{$match:{house_count:{$gt:1}}},{$lookup:{from:""""users"""",localField:""""_id"""",foreignField:""""id"""",as:""""user_info""""}},{$unwind:""""$user...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
74,with_index,"db.energy_readings.aggregate([{$addFields:{hour:{$hour:""""$timestamp""""}}},{$match:{$or:[{hour:{$gte:22}},{hour:{$lt:6}}]}},{$group:{_id:""""$house_id"""",night_use:{$sum:""""$total_use_kwh""""}}},{$sort:{night...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
75,with_index,"db.energy_readings.aggregate([{$group:{_id:{house_id:""""$house_id"""",month:{$dateTrunc:{date:""""$timestamp"""",unit:""""month""""}}},total_use:{$sum:""""$total_use_kwh""""}}},{$sort:{""""_id.house_id"""":1,""""_id.month...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
76,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$bucket:{groupBy:""""$weather.temperature_celsi...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
77,with_index,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{gen_diff:{$derivative:{input:""""$generation_kwh"""",unit:""""day""""},window:{documents:[-1,0]}}}}},{$m...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
78,with_index,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""_id"""",foreignField:""""appliance_id"""",as:""""logs""""}},{$lookup:{from:""""energy_readings"""",pipeline:[{$unwind:""""$appliance_usages""""}...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
79,with_index,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""logs""""}},{$addFields:{total_cost:{$reduce:{input:""""$logs"""",initialValue:0,in:{$add:[""""...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:53Z
80,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",gen:{$sum:""""$generation_kwh""""},use:{$sum:""""$total_use_kwh""""}}},{$project:{house_id:""""$_id"""",efficiency:{$cond:[{$eq:[""""$use"""",0]},0,{$divide:[""...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
81,with_index,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{gen_diff:{$derivative:{input:""""$generation_kwh"""",unit:""""day""""},window:{documents:[-1,0]}},use_st...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
82,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_use:{$sum:""""$total_use_kwh""""}}},{$sort:{total_use:-1}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
83,with_index,"db.houses.aggregate([{$lookup:{from:""""contracts"""",localField:""""id"""",foreignField:""""house_id"""",as:""""contract""""}},{$unwind:""""$contract""""},{$group:{_id:""""$contract.supplier_id"""",house_count:{$sum:1}}}])",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
84,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_use:{$sum:""""$total_use_kwh""""},total_gen:{$sum:""""$generation_kwh""""}}},{$project:{total_use:1,total_gen:1,gen_to_use_ratio:{$cond:[{$gt:[""""...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
85,with_index,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{avg_use:{$avg:""""$total_use_kwh""""}}}},{$match:{$expr:{$gt:[""""$total_use_kwh"""",{$multiply:[""""$avg_...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
86,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$group:{_id:""""$house._id"""",built_year:{$first:""""$house.built_y...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
87,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$group:{_id:""""$house.city"""",city_avg:{$avg:""""$total_use_kwh""""}...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
88,with_index,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:""""$house_id"""",appliance_count:{$addToSet:""""$appliance_usages.appliance_id""""},total_gen:{$sum:""""$generation_kwh""""}}},{$project...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:54Z
89,with_index,"db.energy_readings.aggregate([{$addFields:{hour:{$hour:""""$timestamp""""}}},{$group:{_id:""""$house_id"""",morning:{$sum:{$cond:[{$and:[{$gte:[""""$hour"""",6]},{$lt:[""""$hour"""",12]}]},""""$total_use_kwh"""",0]}},eve...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
90,with_index,"db.maintenance_logs.aggregate([{$project:{appliance_id:1,quarter:{$ceil:{$divide:[{$month:""""$date""""},3]}},year:{$year:""""$date""""}}},{$group:{_id:{appliance_id:""""$appliance_id"""",year:""""$year"""",quarter:""...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
91,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_use:{$sum:""""$total_use_kwh""""},total_gen:{$sum:""""$generation_kwh""""}}},{$project:{total_use:1,total_gen:1,ratio:{$divide:[""""$total_use"""",""""...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
92,with_index,"db.energy_readings.aggregate([{$addFields:{hour:{$hour:""""$timestamp""""}}},{$group:{_id:""""$hour"""",total_use:{$sum:""""$total_use_kwh""""}}},{$sort:{total_use:-1}},{$limit:3}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
93,with_index,"db.energy_readings.aggregate([{$sample:{size:100000}},{$lookup:{from:""""contracts"""",localField:""""contract_id"""",foreignField:""""id"""",as:""""contract""""}},{$unwind:""""$contract""""},{$group:{_id:""""$contract.tar...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
94,with_index,"db.energy_readings.aggregate([{$addFields:{weekday:{$dayOfWeek:""""$timestamp""""}}},{$group:{_id:""""$weekday"""",avg_use:{$avg:""""$total_use_kwh""""}}},{$sort:{_id:1}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
95,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_gen:{$sum:""""$generation_kwh""""},total_use:{$sum:""""$total_use_kwh""""}}},{$project:{solar_ratio:{$divide:[""""$total_gen"""",""""$total_use""""]}}},{...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
96,with_index,"db.energy_readings.aggregate([{$group:{_id:null,min:{$min:""""$total_use_kwh""""},max:{$max:""""$total_use_kwh""""},avg:{$avg:""""$total_use_kwh""""}}}])",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
97,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total:{$sum:""""$total_use_kwh""""}}},{$sort:{total:-1}},{$limit:5},{$project:{id:""""$_id"""",total:1,_id:0}},{$out:""""top_consumers""""}])",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:55Z
98,with_index,db.maintenance_logs.findOne({appliance_id:{$exists:true}}),9,success,1,,2025-06-22T18:50:55Z
99,with_index,db.appliances.findOne({id:{$exists:true}}),7,success,1,,2025-06-22T18:50:56Z
100,with_index,"db.maintenance_logs.findOne({date:{$gte:ISODate(""""2024-01-01T00:00:00Z"""")",8,success,1,,2025-06-22T18:50:56Z
101,with_index,"db.energy_readings.aggregate([{ $match: { house_id: 1481, timestamp: { $gte: ISODate(""""2025-04-16T00:00:00Z"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:56Z
102,with_index,"db.energy_readings.aggregate([{ $match: { house_id: 1481, timestamp: { $gte: ISODate(""""2025-04-16T00:00:00Z"""")",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:56Z
103,with_index,"db.maintenance_logs.aggregate([{ $match: { date: { $gte: ISODate(""""2024-01-01T00:00:00Z"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:56Z
104,with_index,"db.energy_readings.aggregate([{ $group: { _id: """"$contract_id"""", total_use: { $sum: """"$total_use_kwh"""" } } }, { $sort: { total_use: -1 } }])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:56Z
105,with_index,"db.energy_readings.aggregate([{ $group: { _id: null, max_total_use: { $max: """"$total_use_kwh"""" }, max_total_gen: { $max: """"$generation_kwh"""" } } }])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:56Z
106,with_index,"db.energy_readings.aggregate([{ $group: { _id: """"$house_id"""", total_use: { $sum: """"$total_use_kwh"""" } } }, { $match: { total_use: { $gt: 1000 } } }, { $sort: { total_use: -1 } }])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:56Z
107,with_index,"db.energy_readings.aggregate([{ $unwind: """"$appliance_usages"""" }, { $group: { _id: """"$appliance_usages.appliance_id"""", total_usage: { $sum: """"$appliance_usages.usage_kwh"""" } } }, { $sort: { total_usag...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
108,with_index,db.energy_readings.find({ total_use_kwh: { $gt: 6 } }).limit(100),23,success,100,,2025-06-22T18:50:57Z
109,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""20230101T000000Z"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
110,with_index,"db.houses.aggregate([{$match:{built_year:{$gte:2010}}},{$lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house_id"""",as:""""readings""""}},{$project:{address:1,city:1,area_sqm:1,readings...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
111,with_index,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""maintenance""""}},{$lookup:{from:""""energy_readings"""",let:{app_id:""""$id""""},pipeline:[{$un...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
112,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
113,with_index,"db.contracts.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""id"""",as:""""house""""}},{$unwind:""""$house""""},{$lookup:{from:""""tariffs"""",localField:""""tariff_id"""",foreignField:""""id""...",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
114,with_index,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{moving_avg:{$avg:""""$total_use_kwh"""",window:{documents:[-3,""""current""""]}},usage_change:{$derivati...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
115,with_index,"db.energy_readings.aggregate([{match:{timestamp:{ gte :ISODate(""""2023-01-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:57Z
116,with_index,"db.houses.aggregate([{lookup:{from:""""users"""",localField:""""owner_id"""",foreignField:""""_id"""",as:""""owner""""}},{ unwind:""""owner""""},{ lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house_...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
117,with_index,"db.contracts.aggregate([{match:{start_date:{ lte :ISODate(""""2023-01-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
118,with_index,"db.appliances.aggregate([{match:{type:{ in:[""""refrigerator"""",""""hvac"""",""""water_heater"""",""""washing_machine""""]}}},{lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""m...",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
119,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01"""")",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
120,with_index,"db.houses.aggregate([{$lookup:{from:""""users"""",localField:""""user_id"""",foreignField:""""_id"""",as:""""owner""""}},{$unwind:""""$owner""""},{$lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
121,with_index,"db.contracts.aggregate([{$match:{start_date:{$lte:ISODate(""""2023-01-01"""")",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
122,with_index,"db.appliances.aggregate([{$match:{type:{$in:[""""refrigerator"""",""""hvac"""",""""water_heater"""",""""washing_machine""""]}}},{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
123,with_index,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-09-01"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:58Z
