query_id,documents_returned_x,exec_time_shards,documents_returned_y,exec_time_no_shards,diff_ms,pct_impr
1,1000,66,1000,65,-1,-1.5384615384615385
2,100,225,100,706,481,68.13031161473087
3,1000,38,1000,38,0,0.0
4,250000,136,250000,94,-42,-44.680851063829785
5,10,7,10,7,0,0.0
6,10,6,10,4,-2,-50.0
7,1000,43,1000,38,-5,-13.157894736842104
8,5,6,5,6,0,0.0
9,1000,46,1000,44,-2,-4.545454545454546
10,100,7,100,4,-3,-75.0
11,1000,34,1000,29,-5,-17.24137931034483
12,1000,37,1000,28,-9,-32.142857142857146
13,100,9,100,7,-2,-28.57142857142857
14,1000,37,1000,28,-9,-32.142857142857146
15,1000,46,1000,35,-11,-31.428571428571427
16,1000,42,1000,32,-10,-31.25
17,1000,98,1000,75,-23,-30.666666666666664
18,1000,39,1000,30,-9,-30.0
19,1000,91,1000,72,-19,-26.38888888888889
20,1000,46,1000,39,-7,-17.94871794871795
21,1000,87,1000,73,-14,-19.17808219178082
22,1000,87,1000,76,-11,-14.473684210526317
23,1000,46,1000,35,-11,-31.428571428571427
24,1000,91,1000,73,-18,-24.65753424657534
25,1000,47,1000,30,-17,-56.666666666666664
26,1000,42,1000,36,-6,-16.666666666666664
27,1000,89,1000,72,-17,-23.61111111111111
28,1000,50,1000,47,-3,-6.382978723404255
29,1000,87,1000,67,-20,-29.850746268656714
30,1000,87,1000,70,-17,-24.285714285714285
31,1000,88,1000,72,-16,-22.22222222222222
32,1000,187,1000,108,-79,-73.14814814814815
33,1000,43,1000,40,-3,-7.5
34,1000,45,1000,35,-10,-28.57142857142857
35,100,8,100,7,-1,-14.285714285714285
36,1000,82,1000,66,-16,-24.242424242424242
37,1000,83,1000,72,-11,-15.277777777777779
38,1000,33,1000,30,-3,-10.0
39,1000,82,1000,79,-3,-3.79746835443038
40,1000,37,1000,39,2,5.128205128205128
41,1000,80,1000,106,26,24.528301886792452
42,1000,79,1000,75,-4,-5.333333333333334
43,20,7,20,6,-1,-16.666666666666664
44,1000,81,1000,72,-9,-12.5
45,1000,90,1000,72,-18,-25.0
46,1000,49,1000,43,-6,-13.953488372093023
47,1000,84,1000,67,-17,-25.37313432835821
48,1000,84,1000,67,-17,-25.37313432835821
49,1000,90,1000,70,-20,-28.57142857142857
50,1000,82,1000,74,-8,-10.81081081081081
51,1000,84,1000,68,-16,-23.52941176470588
52,1000,81,1000,65,-16,-24.615384615384617
53,1000,87,1000,67,-20,-29.850746268656714
54,1000,83,1000,69,-14,-20.28985507246377
55,1000,43,1000,35,-8,-22.857142857142858
56,1000,42,1000,34,-8,-23.52941176470588
57,1000,40,1000,35,-5,-14.285714285714285
58,1000,84,1000,70,-14,-20.0
59,1000,42,1000,30,-12,-40.0
60,1000,87,1000,70,-17,-24.285714285714285
61,1000,84,1000,72,-12,-16.666666666666664
62,100,9,100,7,-2,-28.57142857142857
63,1000,81,1000,65,-16,-24.615384615384617
64,1000,35,1000,26,-9,-34.61538461538461
65,1000,44,1000,33,-11,-33.33333333333333
66,1000,45,1000,34,-11,-32.35294117647059
67,1000,82,1000,67,-15,-22.388059701492537
68,1000,41,1000,32,-9,-28.125
69,1000,84,1000,72,-12,-16.666666666666664
70,1000,77,1000,62,-15,-24.193548387096776
71,1000,82,1000,66,-16,-24.242424242424242
72,1000,39,1000,27,-12,-44.44444444444444
73,1000,85,1000,66,-19,-28.78787878787879
74,1000,82,1000,68,-14,-20.588235294117645
75,1000,83,1000,86,3,3.488372093023256
76,1000,80,1000,64,-16,-25.0
77,100,12,100,9,-3,-33.33333333333333
78,100,8,100,6,-2,-33.33333333333333
79,1000,85,1000,65,-20,-30.76923076923077
80,1000,86,1000,64,-22,-34.375
81,1000,84,1000,64,-20,-31.25
82,1000,37,1000,28,-9,-32.142857142857146
83,1000,84,1000,69,-15,-21.73913043478261
84,1000,83,1000,68,-15,-22.058823529411764
85,1000,83,1000,77,-6,-7.792207792207792
86,1000,87,1000,116,29,25.0
87,1000,130,1000,75,-55,-73.33333333333333
88,1000,83,1000,66,-17,-25.757575757575758
89,1000,42,1000,30,-12,-40.0
90,1000,85,1000,70,-15,-21.428571428571427
91,1000,104,1000,67,-37,-55.223880597014926
92,1000,117,1000,67,-50,-74.6268656716418
93,1000,117,1000,63,-54,-85.71428571428571
94,1000,104,1000,68,-36,-52.94117647058824
95,1000,115,1000,76,-39,-51.31578947368421
96,1000,111,1000,68,-43,-63.23529411764706
97,1,9,1,5,-4,-80.0
98,1,7,1,3,-4,-133.33333333333331
99,1,6,1,4,-2,-50.0
100,1000,108,1000,65,-43,-66.15384615384615
101,1000,105,1000,64,-41,-64.0625
102,1000,52,1000,31,-21,-67.74193548387096
103,1000,114,1000,72,-42,-58.333333333333336
104,1000,113,1000,67,-46,-68.65671641791045
105,1000,116,1000,71,-45,-63.38028169014085
106,1000,98,1000,69,-29,-42.028985507246375
107,100,15,100,12,-3,-25.0
108,1000,84,1000,63,-21,-33.33333333333333
109,1000,39,1000,29,-10,-34.48275862068966
110,100,11,100,8,-3,-37.5
111,1000,81,1000,66,-15,-22.727272727272727
112,1000,44,1000,36,-8,-22.22222222222222
113,1000,82,1000,68,-14,-20.588235294117645
114,1000,82,1000,63,-19,-30.158730158730158
115,1000,37,1000,29,-8,-27.586206896551722
116,1000,45,1000,34,-11,-32.35294117647059
117,100,11,100,8,-3,-37.5
118,1000,83,1000,69,-14,-20.28985507246377
119,1000,40,1000,29,-11,-37.93103448275862
120,1000,43,1000,34,-9,-26.47058823529412
121,100,11,100,10,-1,-10.0
122,1000,83,1000,64,-19,-29.6875
